Spanish Term,English Term,Definition,Difficulty,Spanish Example,English Example
"llevar","to carry/take/lead","To transport, lead, or take something or someone. In this context, to lead to a certain action.",3,"Si el ritmo te **lleva** a mover la cabeza","If the rhythm **makes** your head move"
"empezar","to start/begin","To commence or initiate an action or process.",1,"Ya **empezamos** como es","We've already **started** as it should"
"discriminar","to discriminate","To make an unjust or prejudicial distinction in the treatment of different categories of people or things.",4,"Mi música no **discrimina** a nadie","My music doesn't **discriminate** against anyone"
"romper","to break","To separate into pieces violently or suddenly. Also used idiomatically for 'breaking it down' (dancing).",2,"Así que vamos a **romper**","So let's **break it down**"
"gente","people","Human beings in general or considered collectively.",1,"Toda mi **gente** se mueve","All my **people** are moving"
"mover","to move","To change the position of something or oneself.",1,"Toda mi gente se **mueve**","All my people are **moving**"
"entretener","to entertain","To provide (someone) with amusement or enjoyment.",3,"Hago música que **entretiene**","I make music that **entertains**"
"querer","to want/to love","To desire or wish for something, or to feel love or affection for someone.",1,"El mundo nos **quiere**, nos **quiere**","The world **wants** us, **wants** us"
"discoteca","club/discotheque","A public establishment for dancing, especially to recorded popular music.",2,"Tamo' rompiendo la **discoteca**","We're tearing up the **club**"
"apenas","hardly/scarcely/just","Only just, almost not; indicates something is new or has just started.",4,"La fiesta no para, **apenas** comienza","The party doesn't stop, it's **just** beginning"
"comenzar","to begin/start","To perform or undergo the first part of an action or activity. Synonym of 'empezar'.",1,"La fiesta no para, apenas **comienza**","The party doesn't stop, it's just **beginning**"
"mentir","to lie","To speak untruthfully with intent to deceive or mislead.",3,"Los DJs no **mienten**, le gusta a mi gente","The DJs don't **lie**, my people like it"
"mundial","worldwide/global","Affecting or known about by the whole world.",2,"Y eso se fue **mundial** (Freeze)","And that went **worldwide** (Freeze)"
"elevar","to raise/to elevate","To lift or make higher. Figuratively, to improve or advance.",4,"Y con el tiempo nos seguimos **elevando**","And with time we keep **rising**"
"fin","end","The final part of something, typically a period, activity, or story.",1,"Esta fiesta no tiene **fin**","This party has no **end**"
