Spanish Term,English Term,Definition,Difficulty,Spanish Example,English Example
"echar","to throw","To throw, cast, or expel.",3,"Todo lo malo **échalo** pa’ allá","**Throw** all the bad things over there"
"salud","health","The state of being free from illness or injury.",1,"Dame **salud** y prosperidad","Give me **health** and prosperity"
"prosperidad","prosperity","The state of being successful, usually by making a lot of money.",2,"Dame salud y **prosperidad**","Give me health and **prosperity**"
"feliz","happy","Feeling or showing pleasure or contentment.",1,"No tengo nada pero soy **feliz**","I have nothing but I am **happy**"
"recuerdo","memory","The faculty by which the mind stores and remembers information.",2,"Solo **recuerdos** habitan en mí","Only **memories** dwell within me"
"sueño","dream","A series of thoughts, images, or emotions occurring during sleep; also, a cherished aspiration.",1,"**Sueños** que cumplir y yo voy a mí","**Dreams** to fulfill and I'm going for it"
"cumplir","to fulfill","To achieve or realize something desired or promised.",3,"Sueños que **cumplir** y yo voy a mí","Dreams to **fulfill** and I'm going for it"
"seguir","to continue","To carry on with an action or process.",2,"Hasta lograrlo voy a **seguir**","Until I achieve it, I will **continue**"
"cartera","wallet","A small flat case for carrying paper money, credit cards, etc.",3,"Que mi **cartera** no haga más dietas","May my **wallet** not go on more diets"
"suerte","luck","Success or failure apparently brought by chance rather than through one's own actions.",2,"Que me visite la buena **suerte**","May good **luck** visit me"
"gente","people","Human beings in general or considered collectively.",1,"Para ayudar a toda mi **gente**","To help all my **people**"
"gracias","thanks","An expression of gratitude.",1,"Hay que dar **gracias** por un día mas de vida","One must give **thanks** for one more day of life"
"envidia","envy","A feeling of discontented or resentful longing aroused by someone else's possessions, qualities, or luck.",3,"Y que la **envidia** a mí no me alcance","And may **envy** not reach me"
"alcanzar","to reach","To stretch out an arm or hand so as to touch, grasp, or take hold of something.",3,"Y que la envidia a mí no me **alcance**","And may envy not **reach** me"
"luchar","to fight","To engage in a fight or struggle.",3,"**Lucha** por tu sueño, que sí se puede","**Fight** for your dream, yes you can"
